user_id,lable,count_user_info,age,sex,expect_quota,max_month_repay,occupation,education,marital_status,live_info,local_hk,money_function,company_type,salary,school_type,flow,gross_profit,business_type,business_year,personnel_num,pay_type,product_id,tm_encode
85ab005150a61e4d908340834ad3405b,0,5,32,1,20000,-1,2,2,2,1,1,0,4,5000,0,0,0,0,0,0,0,1,8764162
dae9b629ca68bdb356535dafd8283330,1,5,28,1,20000,-1,4,3,1,3,1,0,5,4500,0,0,0,0,0,0,1,1,19737365
681df9b23b6b9d0730554b3f4dbcb494,0,5,41,1,20000,-1,2,3,3,1,3,0,5,10000,0,0,0,0,0,0,0,1,19857952
e1f5f60574897e6070c3d9284e2144a7,0,5,28,1,10000,-1,2,4,3,1,1,0,5,3000,0,0,0,0,0,0,0,1,9371549
9e73fe418afd711c593122b27f667317,0,5,30,1,2000,-1,2,2,1,4,2,0,5,3000,0,5000000,3000000,12,7,2,0,1,8237623
5e0c6f6cfdb59ec5157e43213fd20672,0,5,38,1,50000,-1,4,4,3,1,4,0,0,7000,0,0,0,0,0,0,1,1,10056158
006356873a6000545e75060d9e883c92,1,6,32,1,8000,6500,2,3,4,0,-1,-1,0,8000,-1,-1,-1,-1,-1,-1,-1,2,21555089
60b2654fbe80055030d7e1bb0710ffe9,0,4,37,1,10000,-1,2,4,3,6,4,0,5,6000,0,0,0,0,0,0,0,1,9042041
e54427030184c2bd6146b35f6e3ef518,1,5,30,1,20000,-1,2,4,1,2,2,0,5,4000,0,0,0,0,0,0,0,1,16196906
d73c9dedeb98d172a9e14d1cd466b2b8,0,5,22,2,20000,-1,2,3,1,3,1,0,4,5000,0,0,0,0,0,0,0,1,19060153
0a67281f8b9d75ab936420e92299a32e,1,9,35,1,20000,3000,4,4,3,0,-1,-1,0,5000,-1,-1,-1,-1,-1,-1,-1,2,21403027
280942f123d2d11654b63de14768745d,1,6,25,2,6000,1000,2,4,3,0,-1,-1,0,1600,-1,-1,-1,-1,-1,-1,-1,2,20428317
06c5fef29dbecb9ea6d10db3ab89fa75,0,5,21,1,30000,3500,2,4,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,2,19410995
14d22dce07d5ee7cd93277d3e88aaa93,0,5,22,1,3000,-1,2,3,1,4,4,0,5,3000,0,0,0,0,0,0,0,1,20532160
1fdebc3f06e412dd16b693079bb60138,0,17,42,2,20000,-1,2,1,3,1,1,0,4,4500,0,0,0,0,0,0,5,1,20393088
cbf6d10f9dcc130f7142fdcd6e17fb31,0,5,25,1,5000,-1,2,4,1,6,3,0,4,3000,0,0,0,0,0,0,0,1,17936082
