user_id,prior_period_bill_amt,prior_period_repay_amt,credit_lmt_amt,curt_jifen,current_bill_bal,current_bill_min_repay_amt,is_cheat_bill,cost_cnt,current_bill_amt,adj_amt,circle_interest,prior_period_jifen_bal,nadd_jifen,current_adj_jifen,avlb_bal_usd,avlb_bal,card_type,pre_borrow_cash_amt_usd,credit_lmt_amt_usd,pre_borrow_cash_amt,curr,repay_stat,current_min_repay_amt_usd,current_repay_amt_usd,current_convert_jifen,current_award_jifen
0000e1553a7fa79ba787b84ad21a3005,499944,238057,500000,9196,271560,74255,1,4,0,0,0,9196,0,0,0,0,2,0,0,250000,1,0,0,0,0,0
0005aff61586635908ecb002396c5411,0,0,0,0,2000332,171972,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
0005cd924ff4fc94e9768b52f0e92230,0,0,1200000,131,13100,1310,0,0,13100,0,0,0,0,0,0,0,2,188000,188000,1200000,1,0,0,0,0,0
0005e7930a99cea7c0acdfced0f5a321,300000,300000,0,0,300000,30000,0,0,300000,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
0007ed3de90eb6d5ec67d8a9448df09f,298919,38900,300000,0,301109,30200,0,4,41090,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
0009a9a458c8d143369a82b913be3cd8,871295,200000,1000000,0,900644,90800,0,0,229349,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
000b459c4d58bf138a7ab890a9057735,0,0,0,1600,398943,398943,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
000bf350cd13933dca68d7cb4c2fcd8a,605772,100000,0,48780,519543,64348,0,3,3738,0,10033,48780,0,0,0,0,2,0,0,0,1,0,0,0,0,0
000e93ca5212f978fee769ab61e69e9a,439629,437647,500000,222,110644,5484,0,2,108627,0,35,0,32,0,0,0,2,0,0,250000,1,0,0,0,0,0
0010a0bc9804552cc125f2bebf6c1188,136207,140000,500000,8851,249195,91525,0,0,252988,0,0,0,0,0,0,0,2,78000,78000,500000,1,0,0,0,0,0
001310d16c104baf8aa9bbdc6ab11ac1,0,0,0,1750,1958734,220269,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
00246c94fcabb43478dfb62a50943281,48889,330000,1500000,2961,114328,114328,0,5,395439,0,0,0,2299,0,0,0,2,0,0,750000,1,0,0,0,0,0
